year,code,Finished consultant episodes,Admissions,Male,Emergency,Waiting list,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,FCE Bed Days
2003,B18 Chronic viral hepatitis ,4562,4362,3226,336,1743,66,35,4.8,1,44,17,4025,376,71,2756,7339
2003,B37 Candidiasis ,2815,2301,1152,1235,670,41,23,6.1,1,47,541,1092,532,646,812,9253
2004,A15 Respiratory TB bacteriologically and histologically confirmed,1397,912,899,669,147,10,7,17.3,11,43,38,1031,174,145,102,15634
2004,A16 Respiratory TB not confirmed bacteriologically or histologically ,2376,1617,1406,1213,214,11,6,15.7,9,42,128,1682,304,254,179,23397
2004,A17 Tuberculosis of nervous system,400,247,215,164,23,14,4,28.1,15,39,39,289,55,17,6,6833
2004,A18 Tuberculosis of other organs,1383,991,681,543,335,38,13,15.8,8,39,63,1058,184,73,117,14555
2004,A19 Miliary tuberculosis,296,165,167,146,9,4,4,26.4,15,44,14,195,49,36,4,4787
2004,B15 Acute hepatitis A ,418,321,266,301,12,25,8,4.2,3,34,69,313,25,11,10,1356
2004,B16 Acute hepatitis B ,587,425,386,241,95,42,19,7.3,5,40,17,492,60,12,110,2368
2004,B18 Chronic viral hepatitis ,4268,4086,3088,270,1856,54,34,4.5,1,44,20,3802,347,24,2779,5662
2004,B37 Candidiasis ,2904,2337,1239,1279,686,40,25,6,1,47,589,1051,584,672,836,9497
2005,A15 Respiratory TB bacteriologically and histologically confirmed,1605,1017,959,721,182,13,6,16.3,11,43,24,1189,218,167,121,16103
2005,A16 Respiratory TB not confirmed bacteriologically or histologically ,2687,1715,1639,1287,261,12,6,14.9,9,43,118,1884,361,321,188,23418
2005,A17 Tuberculosis of nervous system,456,258,256,180,21,18,7,34.4,16,37,43,346,49,17,11,9420
2005,A18 Tuberculosis of other organs,1653,1206,885,659,400,27,14,16.2,7.5,39,126,1220,217,88,206,16205
2005,A19 Miliary tuberculosis,365,186,203,135,24,10,5,19.5,12,43,32,224,66,42,12,3950
2005,B15 Acute hepatitis A ,342,209,214,197,6,43,9,5.3,4,38,30,249,50,13,7,1213
2005,B16 Acute hepatitis B ,558,401,370,220,93,43,25,6.8,5,39,10,486,42,17,124,1987
2005,B18 Chronic viral hepatitis ,4167,3962,2891,288,1812,53,36,3.8,1,44,18,3691,345,40,2696,4910
2005,B37 Candidiasis ,3110,2462,1300,1315,768,38,22,5.5,1,48,576,1182,604,741,917,8790
2006,A15 Respiratory TB bacteriologically and histologically confirmed,1796,1071,1087,714,212,10,5,16.2,10,44,36,1307,250,200,172,17127
2006,A16 Respiratory TB not confirmed bacteriologically or histologically ,2654,1669,1641,1257,281,10,5,13.4,8,44,121,1814,368,348,226,20621
2006,A17 Tuberculosis of nervous system,468,268,289,159,30,36,15,34.8,15.5,39,30,368,62,8,17,9482
2006,A18 Tuberculosis of other organs,1749,1183,1018,573,387,45,10,16.7,9,39,66,1380,201,94,303,16208
2006,A19 Miliary tuberculosis,366,182,224,141,19,13,7,23,14,46,12,238,64,49,11,4377
2006,B15 Acute hepatitis A ,327,233,204,210,11,17,7,4,3,31,69,222,23,13,9,941
2006,B16 Acute hepatitis B ,563,407,397,230,101,38,33,6,4.5,39,14,488,48,12,121,1877
2006,B18 Chronic viral hepatitis ,4611,4382,3199,304,2073,51,41,3.9,1,45,47,3969,462,55,3153,4837
2006,B37 Candidiasis ,3396,2772,1345,1373,948,33,18,5.4,1,48,644,1222,720,788,1125,8692
2007,A15,2063,1373,1198,702,308,10,6,16.2,9,41,186,1490,185,201,478,16208
2007,A16,2314,1437,1447,1019,242,24,5,13,7,42,149,1605,296,258,200,17592
2007,A17,528,282,271,177,27,17,15,32.1,15,39,49,374,90,15,21,9746
2007,A18,1545,1070,851,563,332,23,12,16,8,40,104,1167,170,98,199,14810
2007,A19,384,197,188,157,13,27,26,26.8,14,43,18,267,55,42,6,5792
2007,B15,262,177,153,162,3,7,7,3.7,3,33,46,180,25,11,8,680
2007,B16,480,337,338,171,117,32,27,6.6,5,40,13,386,56,15,109,1738
2007,B18,4933,4709,3415,304,1752,44,36,3.8,1,45,49,4356,419,44,3579,4356
2007,B37,3730,3014,1644,1481,1129,25,16,4.7,1,49,695,1254,893,847,1317,8344
2008,A15 Respiratory TB bacteriologically and histologically confirmed,2260,1452,1083,717,186,11,6,17.1,10,38,354,1452,268,159,576,18006
2008,A16 Respiratory TB not confirmed bacteriologically or histologically ,2491,1499,1509,994,292,9,5,13.9,8,42,175,1655,359,245,322,18236
2008,A17 Tuberculosis of nervous system,596,309,323,157,29,36,14,32.4,16,40,27,431,74,29,47,9643
2008,A18 Tuberculosis of other organs,1700,1109,884,627,332,22,12,15.2,8,40,65,1304,169,122,203,15343
2008,A19 Miliary tuberculosis,426,200,240,158,12,7,5,23.3,12,43,21,291,51,40,15,5208
2008,B15 Acute hepatitis A ,287,206,165,188,8,16,1,3.8,2,33,53,190,26,17,7,782
2008,B16 Acute hepatitis B ,566,407,373,193,158,27,23,5.1,3,37,4,488,36,13,131,1559
2008,B18 Chronic viral hepatitis ,4910,4612,3437,288,1965,36,27,4,1,45,35,4227,489,44,3501,4545
2008,B37 Candidiasis ,4207,3386,1840,1539,1476,22,15,4.9,1,51,775,1276,1061,1051,1641,9047
2009,A15 Respiratory TB bacteriologically and histologically confirmed,2091,1186,1229,696,227,13,7,16.7,9,44,72,1404,322,259,306,17818
2009,A16 Respiratory TB not confirmed bacteriologically or histologically,2412,1388,1466,906,248,16,5,13.5,8,43,155,1599,327,268,302,17142
2009,A17 Tuberculosis of nervous system,543,298,292,191,31,29,6,32.5,17,39,43,386,61,23,21,9853
2009,A18 Tuberculosis of other organs,1683,1072,931,599,327,23,13,15.4,8,41,95,1173,219,120,189,14863
2009,A19 Miliary tuberculosis,443,178,247,139,18,11,8,22.6,15,46,9,275,88,38,14,4643
2009,B15 Acute hepatitis A,253,143,148,132,3,0,0,4.9,3,37,29,176,33,12,4,859
2009,B16 Acute hepatitis B,516,369,338,191,107,26,21,6.8,5,39,5,448,41,15,142,1726
2009,B18 Chronic viral hepatitis,5114,4897,3469,285,1833,33,27,4.9,1,45,48,4399,534,36,3853,5096
